ID,ground water,surface water,Lake,C0,coal,wood,Dmin,Dmax,micro,meso,SSA,pore size,Fe,M,pH,temperature,time,rate,Ca,TOC,Re
147,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,46,170,0.7,63.2,66.58590658
148,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,57.5,170,0.7,63.2,67.45890417
149,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,69.5,170,0.7,63.2,67.09107198
150,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,81.5,170,0.7,63.2,67.78049853
151,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639104128,2450,1.52012217,0,100,4,25,48,170,0.7,63.2,33.2
152,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,63.2,67.9
153,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,300,4,25,48,170,0.7,63.2,89.12
154,0,0,0,120000,0,1,0.6,0.85,0.318617821,0.638172567,2450,1.52012217,0,500,4,25,48,170,0.7,63.2,96.6
155,0,0,0,120000,0,1,0.6,0.85,0.318617821,0.638172567,2450,1.52012217,0,700,4,25,48,170,0.7,63.2,98.50000003
156,0,0,0,120000,0,1,0.6,0.85,0.318617821,0.637876511,2450,1.52012217,0,1100,4,25,48,170,0.7,63.2,100
157,0,0,0,120000,0,1,0.6,0.85,0.318617821,0.637876511,2450,1.52012217,0,1500,4,25,48,170,0.7,63.2,100
158,0,0,0,120000,0,1,0.6,0.85,0.318617821,0.637876511,2450,1.52012217,0,1900,4,25,48,170,0.7,63.2,100
159,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.63713187,2450,1.52012217,0,200,2,25,48,170,0.7,63.2,84.59217
160,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.63713187,2450,1.52012217,0,200,3,25,48,170,0.7,63.2,76.53413
161,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,63.2,70.13185
162,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638755262,2450,1.52012217,0,200,5,25,48,170,0.7,63.2,67.86897
163,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638755262,2450,1.52012217,0,200,6,25,48,170,0.7,63.2,67.42744
164,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638702631,2450,1.52012217,0,200,7,25,48,170,0.7,63.2,67.42744
165,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638702631,2450,1.52012217,0,200,8,25,48,170,0.7,63.2,67.20667
166,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.638702631,2450,1.52012217,0,200,9,25,48,170,0.7,63.2,66.82032
167,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,0,86.44207
168,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0,0,57.5121
169,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0,0,57.5121
170,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0,0,55.34966
171,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.63858676,2450,1.52012217,0,200,4,25,48,170,0,0,48.97922
172,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.63858676,2450,1.52012217,0,200,4,25,48,170,0,0,48.80389
173,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,0,88.42918
174,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,63.2,67.62298
175,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0,0,83.86015
176,0,0,0,120000,0,1,0.6,0.85,0.314636469,0.639057338,2450,1.52012217,0,200,4,25,48,170,0.7,63.2,67.59331
177,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,24,120,0,0,4.574
178,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,48,120,0,0,3.131
179,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,72,120,0,0,8.275
180,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,120,120,0,0,10.408
181,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,168,120,0,0,8.777
182,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,25,4.5,20,240,120,0,0,9.467
183,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,24,120,0,0,13.92
184,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,48,120,0,0,16.743
185,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,72,120,0,0,12.038
186,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,120,120,0,0,22.89
187,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,168,120,0,0,15.802
188,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,50,4.5,20,240,120,0,0,13.92
189,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,24,120,0,0,16.555
190,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,48,120,0,0,22.388
191,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,72,120,0,0,20.068
192,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,120,120,0,0,35.561
193,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,168,120,0,0,35.122
194,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,100,4.5,20,240,120,0,0,42.837
195,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,24,120,0,0,32.488
196,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,48,120,0,0,40.517
197,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,72,120,0,0,59.084
198,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,120,120,0,0,62.095
199,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,168,120,0,0,73.197
200,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,240,120,0,0,71.504
201,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,24,120,0,0,54.81800001
202,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,48,120,0,0,57.89199999
203,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,72,120,0,0,61.15400001
204,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,120,120,0,0,81.85400001
205,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,168,120,0,0,88.44
206,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,240,120,0,0,91.263
207,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,24,120,0,0,52.497
208,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,48,120,0,0,70.375
209,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,72,120,0,0,88.189
210,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,120,120,0,0,94.525
211,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,168,120,0,0,98.539
212,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,240,120,0,0,99.731
