ID,ground water,surface water,Lake,C0,coal,wood,Dmin,Dmax,micro,meso,SSA,pore size,Fe,M,pH,temperature,time,rate,Ca,TOC,q
197,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,72,120,0,0,29.542
198,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,120,120,0,0,31.0475
199,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,168,120,0,0,36.5985
200,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,200,4.5,20,240,120,0,0,35.752
201,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,24,120,0,0,18.27266667
202,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,48,120,0,0,19.29733333
203,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,72,120,0,0,20.38466667
204,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,120,120,0,0,27.28466667
205,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,168,120,0,0,29.48
206,0,0,0,10000,1,0,0.85,0.83086139,0.222474471,0.22,593,1.39,0,300,4.5,20,240,120,0,0,30.421
207,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,24,120,0,0,10.4994
208,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,48,120,0,0,14.075
209,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,72,120,0,0,17.6378
210,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,120,120,0,0,18.905
211,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,168,120,0,0,19.7078
212,0,0,0,10000,1,0,0.85,0.83086139,0.210048765,0.22,593,1.39,0,500,4.5,20,240,120,0,0,19.9462
